id	charter	title1	black	hisp	white	locale	type	studentteacherratio	students	shooting
403060001461	FALSE		0.1562228024	0.3442123586	0.2915578764		Middle	19.5	2298	FALSE
300387000061			0.02077922078	0.0961038961	0.6519480519		Elementary	15.11	385	FALSE
250459002466	FALSE	TRUE	0.01111111111	0.15	0.7388888889	Suburb	Elementary	11.81	180	FALSE
450213001331	FALSE	TRUE	0.4733502538	0.05710659898	0.4302030457	Rural	Middle	14.87	788	FALSE
250189000041	FALSE	TRUE	0.1191066998	0.1910669975	0.4888337469	Suburb	Middle	9.46	403	FALSE
450390101541	TRUE	TRUE	0.5117773019	0.04710920771	0.3426124197	Urban	Middle	12.04	467	FALSE
341269000803	FALSE		0.5714285714	0.4196428571	0		Elementary	10.18	112	FALSE
317482001427			0.1649122807	0.1263157895	0.3403508772		Elementary	13.83	285	FALSE
420010800692	TRUE	TRUE	0.9569313594	0.02826379542	0	Urban	High	13.76	743	FALSE
251275002087	FALSE	TRUE	0.06051873199	0.05043227666	0.6685878963	Suburb	High	10.88	694	FALSE
220120000994	FALSE	TRUE	0.5716694772	0.02192242833	0.3844856661	Suburb	Elementary	17.97	593	FALSE
250666002777	FALSE	TRUE	0.008517887564	0.9693356048	0.01703577513	Suburb	Elementary	9.86	587	FALSE
317482000666			0.586102719	0.1570996979	0.1178247734		Elementary	9.63	331	FALSE
370001201493	FALSE	TRUE	0.4846416382	0.1023890785	0.3788395904	Rural	Middle	13.36	293	FALSE
402100001605	FALSE		0.0382848392	0.09800918836	0.6156202144		Elementary	17.85	653	FALSE
370162000693	FALSE	TRUE	0.07242990654	0.06308411215	0.796728972	Suburb	Elementary	19.46	428	FALSE
231433000696	FALSE	TRUE	0.02083333333	0.008928571429	0.9613095238	Town	Middle	11.13	336	FALSE
340279000813	FALSE		0.05617977528	0.2546816479	0.5861423221		Middle	12.14	534	FALSE
240033000654	FALSE	TRUE	0.2135176651	0.1689708141	0.5145929339	Rural	Elementary	14.66	651	FALSE
250279000244	FALSE	TRUE	0.2346723044	0.334038055	0.1268498943	Urban	Elementary	11.27	473	FALSE
273239002514	FALSE	TRUE	0.1230769231	0.2307692308	0.5846153846	Suburb	High	9.22	65	FALSE
250366000495	FALSE	FALSE	0.02490842491	0.2703296703	0.6549450549	Suburb	High	11.89	1365	FALSE
201164001525	FALSE	FALSE	0.01298701299	0.03376623377	0.8857142857	Urban	Middle	16.31	385	FALSE
200489000823	FALSE	TRUE	0.003875968992	0.03488372093	0.9224806202	Rural	Middle	13.44	258	FALSE
201023001839	FALSE	TRUE	0	0.07594936709	0.9050632911	Town	Middle	14.36	158	FALSE
250702000088	FALSE	TRUE	0.06625258799	0.4430641822	0.3850931677	Suburb	Elementary	13.52	483	FALSE
220023802341	TRUE	TRUE	0.7386091127	0.2278177458	0.02877697842	Urban	High	14.89	417	FALSE
251305001575	FALSE	FALSE	0.009900990099	0.01650165017	0.9075907591	Suburb	Elementary	14.07	303	FALSE
280282001246	FALSE	TRUE	0.2671009772	0.01302931596	0.7035830619	Rural	Middle	16.74	307	FALSE
220120001002	FALSE	TRUE	0.8948598131	0.02102803738	0.04906542056	Urban	Middle	14.59	428	FALSE
370331000387	FALSE	TRUE	0.6960784314	0.06535947712	0.0522875817	Urban	Elementary	11.78	306	FALSE
250444000976	FALSE	FALSE	0.0346907994	0.02262443439	0.8974358974	Suburb	Middle	15.42	663	FALSE
280171000276	FALSE	FALSE	0.5059710874	0.05531112508	0.4211187932	Urban	High	18.31	1591	FALSE
403060002099	FALSE		0.07098121086	0.108559499	0.5553235908		Elementary	17.04	479	FALSE
340768002114	FALSE		0.9	0.088	0		Elementary	15.38	500	FALSE
250756002049	FALSE	FALSE	0.07370517928	0.06772908367	0.735059761	Suburb	Elementary	11.95	502	FALSE
